Chemical Formula;Molecular Weight (monoisotopic);Generic Name;CAS Number
C20H40N4O10;496,274444; G418;49863-47-0
C23H44O11;496,288362; Undecyl-Beta-D-Maltopyranoside;
C14H13Br2NO5S2;496,860189; [(5R)-5-(2,3-dibromo-5-ethoxy-4-hydroxybenzyl)-4-oxo-2-thioxo-1,3-thiazolidin-3-yl]acetic acid;
C26H27NO9;497,168581; Idarubicin;58957-92-9
C16H14ClF2IN2O4;497,965484; 2-[(2-chloro-4-iodophenyl)amino]-N-{[(2R)-2,3-dihydroxypropyl]oxy}-3,4-difluorobenzamide;
C25H27ClN4O3S;498,149239; [4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone;
C32H26N4O2;498,205576; Conivaptan;210101-16-9
C27H34N2O7;498,236601; Moexipril;103775-10-6
C20H25N3O10S;499,126065; Sp-876;
C25H21N7O3S;499,142658; 3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-N-[2-(2-(Hydroxymethyl-Phenylsulfanyl)-Benzyl]-Benzamide;
C26H30Cl2F3NO;499,165655; Halofantrine;69756-53-2
C62H89CoN13O15P;499,470000; Hydroxocobalamin;13422-51-0
C6H16O18P4;499,928710; Inositol 1,3,4,5-Tetrakisphosphate;
C6H16O18P4;499,928710; (1s,3r,4r,6s)-1,3,4,6-Tetrapkisphosphate;
C10H14N5O7W;500,040255; Adenosine Monotungstate;
C25H31F3O5S;500,184429; Fluticasone Propionate;80474-14-2
C63H89CoN14O14P;500,200000; Cyanocobalamin;68-19-9
C26H35F3O6;500,238573; Travoprost;157283-68-6
C26H44O9;500,298533; Mupirocin;12650-69-0
C32H44N4O;500,351512; (R)-tacrine(10)-hupyridone;
C32H44N4O;500,351512; (S)-tacrine(10)-hupyridone;
C24H27N3O7S;501,156971; (9r,10r)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene;
C24H27N3O7S;501,156971; (9s,10s)-9-(S-Glutathionyl)-10-Hydroxy-9,10-Dihydrophenanthrene;
C20H32N5O8P;501,198850; Adefovir Dipivoxil;142340-99-6
C32H39NO4;501,287909; Fexofenadine;83799-24-0
C24H24Cl2N4O4;502,117461; CP-526423;
C19H26N4O10S;502,136964; 1-Hydroxy-2-S-Glutathionyl-3-Para-Nitrophenoxy-Propane;
C28H28N3O4S;502,180052; 3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid;
C28H35FO7;502,236682; Amcinonide;51022-69-6
C28H54N8;502,447144; Plerixafor;110078-46-1
C15H27N3O12P2;503,106996; 6-Aminohexyl-Uridine-C1,5'-Diphosphate;
C18H32O16;504,169035; Cellotriose;
C18H32O16;504,169035; Amylotriose;1109-28-0
C18H32O16;504,169035; Beta-1,4-Galactotrioside;
C22H30Cl2N10;504,203196; Chlorhexidine;55-56-1
C24H42O7P2;504,240577; SR12813;126411-39-0
C24H40N8O4;504,317252; Dipyridamole;58-32-2
C10H14BrN5O10P2;504,939927; 8-Bromoadenosine-5'-Diphosphate;
C10H14N5O13P3;504,980095; Guanosine 5'-Diphosphate 2':3'-Cyclic Monophosphate;
C11H18N5O12P3;505,016481; Alpha,Beta-Methyleneadenosine-5'-Triphosphate;
C11H18N5O12P3;505,016481; Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate;
C18H30FO15;505,156873; Deoxy-2-Fluoro-B-D-Cellotrioside;
C25H35N3O6S;505,224657; Amprenavir;161814-49-9
C10H17N6O12P3;506,011730; Phosphoaminophosphonic Acid-Adenylate Ester;
C28H29F3N6;506,240580; 4-[5-[2-(1-Phenyl-Ethylamino)-Pyrimidin-4-Yl]-1-Methyl-4-(3-Trifluoromethylphenyl)-1h-Imidazol-2-Yl]-Piperidine;
C27H42N2O5S;506,281443; Ixabepilone;219989-84-1
C10H15N5O13P2S;506,986229; 3'-Phosphate-Adenosine-5'-Phosphate Sulfate;
C10H16N5O13P3;506,995745; Adenosine triphosphate;56-65-5
C10H16N5O13P3;506,995745; 3'-Phosphate-Adenosine-5'-Diphosphate;
C10H16N5O13P3;506,995745; 2'-Deoxyguanosine-5'-Triphosphate;2564-35-4
C10H16N5O13P3;506,995745; 2'-Monophosphoadenosine-5'-Diphosphate;
C26H29N5O4S;507,194025; N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)-4-Acetyl-Piperazine;
C27H41NO6S;507,265459; Epothilone B;152044-54-7
C10H13N5O12P2V;507,947558; Adenosine-5'-Diphosphate-2',3'-Vanadate;
C23H25ClN2O9;508,124858; Clomocycline;1181-54-0
C26H28N4O5S;508,178041; N-Alpha-(2-Naphthylsulfonyl)-N-(3-Amidino-L-Phenylalaninyl)-D-Pipecolinic Acid;
C27H34F2O7;508,227260; Difluprednate;23674-86-4
C23H36N6O5S;508,246789; Argatroban;74863-84-6
C24H44O11;508,288362; Cyclohexyl-Hexyl-Beta-D-Maltoside;
C19H23N7O8S;509,132881; Tyrosyladenylate;
C18H23FN2O14;510,113332; 2',4'-Dinitrophenyl-2deoxy-2-Fluro-B-D-Cellobioside;
C24H46O11;510,304012; Dodecyl-Alpha-D-Maltoside;
C26H57NO6P;510,392350; Lpc-Ether;
C16H17N9O5S3;511,051477; Cefmenoxime;65085-01-0
C18H33N5O8S2;511,177054; 7,10,13-Tri(Carboxymethyl)-5,15-Dioxo-4,7,10,13,16-Pentaaza-1,19-Dithianonadecane;
C28H33NO8;511,220617; 10-(4-Dimethylamino-5-Hydroxy-6-Methyl-Tetrahydro-Pyran-2-Yloxy)-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione;
C27H34Cl2N6;512,222201; Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine;
C23H36N4O9;512,248229; BV1;
C24H24IN3O2;513,091320; (5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One;
C29H41F2N5O;513,327917; Maraviroc;376348-65-1
C33H30N4O2;514,236876; Telmisartan;144701-48-4
C29H41NO7;515,288303; Candoxatril;118785-03-8
C26H45NO7S;515,291673; Taurocholic Acid;81-24-3
C15H18Cl6N2O5;515,934688; Dichloralphenazone;480-30-8
C18H32N2O15;516,180268; Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam;
C25H36N6O4S;516,251874; Udenafil;268203-93-6
C31H48O2S2;516,309572; Probucol;23288-49-5
C31H48O6;516,345089; Fusidic Acid;1859240,00
C17H21N5O10P2;517,076365; N6-Benzyl Adenosine-5'-Diphosphate;
C30H47NO4S;517,322580; Retapamulin;224452-66-8
C26H22BrN3O4;519,079369; Br-Coeleneterazine;
C20H21N7O6S2;519,099473; Ceforanide;60925-61-3
C20H20N6O9S;520,101247; 7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid;
C20H20N6O9S;520,101247; Latamoxef;64952-97-2
C28H37ClO7;520,222781; Alclometasone;66734-13-2
C29H44O8;520,303618; Soraphen A;122547-72-2
C11H18N5O13P3;521,011395; Phosphomethylphosphonic Acid Guanylate Ester;
C11H18N5O13P3;521,011395; Phosphomethylphosphonic Acid-Guanylate Ester;
C14H25N3O14P2;521,081176; 4-Diphosphocytidyl-2-C-Methyl-D-Erythritol;
C33H31NO5;521,220223; 2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID;
C10H17N6O13P3;522,006644; Phosphoaminophosphonic Acid Guanylate Ester;
C17H23BrN4O8S;522,041997; S-(N-Hydroxy-N-Bromophenylcarbamoyl)Glutathione;
C27H30N4O5S;522,193691; N-Alpha-(2-Naphthylsulfonyl)-N(3-Amidino-L-Phenylalaninyl)Isopipecolinic Acid Methyl Ester;
C10H16N5O12P3S;522,972901; Adenosine-5'-Diphosphate Monothiophosphate;
C10H16N5O12P3S;522,972901; Adenosine-5'-Rp-Alpha-Thio-Triphosphate;
C10H16N5O12P3S;522,972901; Phosphothiophosphoric Acid-Adenylate Ester;
C10H16N5O14P3;522,990660; Guanosine-3'-Monophosphate-5'-Diphosphate;
C10H16N5O14P3;522,990660; Guanosine-5'-Triphosphate;86-01-1
C17H22IN3O6S;523,027400; Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine;
C17H22IN3O6S;523,027400; S-(3-Iodobenzyl)Glutathione;
C26H54NO7P;523,363790; Platelet Activating Factor;74389-68-7
C18H23N9O4S3;525,103512; Cefotiam;61622-34-2
C28H35N3O7;525,247500; Virginiamycin M1;21411-53-0
C29H31N7O3;525,248838; [(1-{2[(4-Carbamimidoyl-Phenylamino)-Methyl]-1-Methyl-1h-Benzoimidazol-5-Yl}-Cyclopropyl)-Pyridin-2-Yl-Methyleneaminooxy]-Acetic Acid Ethyl Ester;
C34H55NO3;525,418195; N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide;
C26H30N4O6S;526,188605; Benzofuran-2-Carboxylic Acid {(S)-3-Methyl-1-[3-Oxo-1-(Pyridin-2-Ylsulfonyl)Azepan-4-Ylcarbamoyl]Butyl}Amide;
C30H32Cl3NO;527,154948; Lumefantrine;82186-77-4
C27H29NO10;527,179146; Daunorubicin;20830-81-3
C27H33N3O6S;527,209006; Gliquidone;33342-05-1
C27H33N3O8;527,226765; Rolitetracycline;751-97-3
C28H37N3O5S;527,245392; Morpholine-4-Carboxylic Acid (1-(3-Benzenesulfonyl-1-Phenethylallylcarbamoyl)-3-Methylbutyl)-Amide;
C23H37N5O9;527,259128; N-{3-[4-(3-Amino-Propyl)-Piperazin-1-Yl]-Propyl}-3-Nitro-5-(Galactopyranosyl)-Alpha-Benzamide;
C23H37N5O9;527,259128; N-{3-[4-(3-Amino-Propyl)-Piperazin-1-Yl]-Propyl}-3-Nitro-5-(Galactopyranosyl)-Beta-Benzamide;
C31H37N5O3;527,289640; 1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea;
C27H30F6N2O2;528,221147; Dutasteride;164656-23-9
C19H17Br2NO5S;528,919419; 3-(3,5-Dibromo-4-Hydroxy-Benzoyl)-2-Ethyl-Benzofuran-6-Sulfonic Acid Dimethylamide;
C28H22F3N7O;529,183793; Nilotinib;641571-10-0
C20H35NO15;529,200669; H TYPE II TRISACCHARIDE;
C32H37N2O5;529,270247; (4ar,6s,8ar)-11-[8-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Octyl]-6-Hydroxy-3-Methoxy-5,6,9,10-Tetrahydro-4ah-[1]Benzofuro[3a,3,2-Ef][2]Benzazepin-11-Ium;
C32H53N2O4;529,400533; Rocuronium;119302-91-9
C26H28Cl2N4O4;530,148761; Ketoconazole;65277-42-1
C26H31Cl2N5O3;531,180395; Terconazole;67915-31-5
C20H37NO15;531,216320; H TYPE I TRISACCHARIDE;
C32H41N3O4;531,309707; 4-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide;
C32H41N3O4;531,309707; 3-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide;
C13H14I2N2O5;531,899208; N-Alpha-Acetyl-3,5-Diiodotyrosylglycine;
C20H28N4O9S2;532,129770; Hydroxystilbamidine Isethionate;533-22-2
C25H32Cl2N7O2;532,199454; SP2456;
C38H48N2;532,381750; Hexafluronium;317-52-2
C21H24N7O8P;533,142397; Tryptophanyl-5'amp;
C29H31N3O7;533,216200; Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide;
C15H24N2O15P2;534,065191; Thymidine-5'-Diphospho-Beta-D-Xylose;
C23H21F7N4O3;534,150188; Aprepitant;170729-80-3
C31H42N4O4;534,320606; N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE;
C14H23N3O15P2;535,060440; Cytidine-5'-Diphospho-Beta-D-Xylose;
C14H22N2O16P2;536,044456; Udp-Alpha-D-Xylopyranose;
C17H21N4O12PS;536,061429; N-Sulfo-Flavin Mononucleotide;
C28H24FeN4O4;536,114697; 6,7-Dicarboxyl-1,2,3,4,5,8-Hexamethylhemin;
C28H42Cl2N4O2;536,268482; Ambenonium;7648-98-8
C35H52O4;536,386560; Hyperforin;11079-53-1
C11H19N5O14P3;538,014135; 7-Methyl-Guanosine-5'-Triphosphate;
C33H34N2O5;538,246772; (4r,5s,6s,7r)-1,3-Dibenzyl-4,7-Bis(Phenoxymethyl)-5,6-Dihydroxy-1,3 Diazepan-2-One;
C33H38N4O3;538,294391; DMP450;
C33H38N4O3;538,294391; (S)-2-((S)-3-ISOBUTYL-2,5-DIOXO-4-QUINOLIN-3-YLMETHYL-[1,4]DIAZEPAN-1YL)-N-METHYL-3-NAPHTALEN-2-YL-PROPIONAMIDE;
C10H16N5O13P3S;538,967816; 5'-Guanosine-Diphosphate-Monothiophosphate;
C11H20N5O14P3;539,021960; 7n-Methyl-8-Hydroguanosine-5'-Triphosphate;
C21H25N5O8S2;539,114454; Mezlocillin;51481-65-3
C23H26N5NaO7S;539,145064; Piperacillin;66258-76-2
C21H41N5O11;539,280257; Apramycin;37321-09-8
C31H45N3O3S;539,318163; Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Octyl-Amide;
C26H54NO6PS;539,340946; 1-Octadecyl-2-Acetamido-2-Deoxy-Sn-Glycerol-3-Phosphoethylmethyl Sulfide;
C19H25N8O9P;540,148211; 2'-Deoxycytidine-2'-Deoxyadenosine-3',5'-Monophosphate;
C32H44O7;540,308704; Ciclesonide;141845-82-1
C30H43N3O6;541,315186; CBZ-LEU-LEU-TYR-CH2F;
C18H18N6O8S3;542,034824; Cefonicid;61270-58-4
C23H33N3O10P;542,190356; Phosphoramidon;36357-77-4
C25H34N8O4S;542,242372; N-[3-(Dimethylamino)Propyl]-2-({[4-({[4-(Formylamino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-1-Methyl-1h-Pyrrol-2-Yl]Carbonyl}Amino)-5-Isopropyl-1,3-Thiazole-4-Carboxamide;
C17H26N3O15P;543,110154; Cmp-2-Keto-3-Deoxy-Octulosonic Acid;
C27H29NO11;543,174061; Epirubicin;56420-45-2
C27H29NO11;543,174061; Doxorubicin;23214-92-8
C27H33N3O9;543,221680; 2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid;
C18H22N6O10P2;544,087264; Mant-Adp;
C22H22N6O7S2;546,099138; Ceftazidime;78439-06-2
C34H36N5O2;546,286900; [4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium;
C27H37N3O7S;547,235221; Darunavir;206361-99-1
C16H26N2O15P2;548,080841; 2'-Deoxy-Thymidine-Beta-L-Rhamnose;
C29H21Cl2NO4S;549,056834; (2s)-2-[(5-Benzofuran-2-Yl-Thiophen-2-Ylmethyl)-(2,4-Dichloro-Benzoyl)-Amino]-3-Phenyl-Propionic Acid;
C30H29FeN4O3;549,158908; Verdoheme;
C22H30F3N5O8;549,204648; 10-CF3C(OH)2-DDACTHF;
C11H19AsN5O12P2;549,972141; Gamma-Arsono-Beta, Gamma-Methyleneadenosine-5'-Diphosphate;
C28H26N2O10;550,158745; Balanol;
C23H23Br2NO5;550,994298; [3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid;
C27H29N5O6S;551,183854; Bosentan;147536-97-8
C30H53N3O6;551,393436; Aliskiren;173334-57-1
C16H30N3O14S2;552,116919; Bulgecin A;92953-54-3
C22H44N6O10;552,311892; Arbekacin;51025-85-5
C18H18N8O7S3;554,046057; Ceftriaxone;73384-59-5
C26H33N7O5S;555,226388; 2-[2-ETHANESULFONYLAMINO-3-(1H-INDOL-3-YL)-PROPIONYLAMINO]-PENTANEDIOIC ACID 5-AMIDE 1-(4-CARBAMIM IDOYL-BENZYLAMIDE);
C32H33N3O6;555,236936; RU82197;
C10H13MoN5O8PS3;555,871794; (Molybdopterin-S,S)-Dioxo-Thio-Molybdenum(V);
C19H25N8O10P;556,143126; deoxycytidylyl-3',5'-guanosine;52474-59-6
C24H36N4O11;556,238058; N-(2-Morpholin-4-Yl-1-Morpholin-4-Ylmethyl-Ethyl)-3-Nitro-5-(3,4,5-Trihydroxy-6-Hydroxymethyl-Tetrahydro-Pyran-2-Yloxy)-Benzamide;
C32H36N4O5;556,268570; Quinidine barbiturate;
C32H52N4O4;556,398856; Demecarium;56-94-0
C16H25N5O13P2;557,092409; AMPCPR;
C34H57N2O4;557,431833; Vecuronium;50700-72-6
C24H13Br2ClO4;557,886912; 4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN;
C29H30N6O6;558,222683; Olmesartan;144689-63-4
C33H35FN2O5;558,253000; Atorvastatin;134523-00-5
C29H42N4O7;558,305350; (E)-(S)-4-[(S)-2-((S)-2-TERT-BUTOXYCARBONYLAMINO-3-METHYL-BUTYRYLAMINO)-2-PHENYL-ACETYLAMINO]-5-(2-OXO-PYRROLIDIN-3-YL)-PENT-2-ENOIC ACID ETHYL ESTER;
C15H23N5O14P2;559,071673; Adenosine-5-Diphosphoribose;
C17H29GdN4O7;559,127725; Gadoteridol;120066-54-8
C20H30N7O8PS;559,161418; BIOTINOL-5-AMP;
C16H13BrF3IN2O4;559,905548; 5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide;
C29H32N6O6;560,238333; N-1,2,3,4-Tetrahydronaphth-1-Yl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine;
C32H36N2O7;560,252252; Balanol Analog 8;
C29H40N2O9;560,273381; Geldanamycin;30562-34-6
C25H48N6O8;560,353363; Deferoxamine;70-51-9
C34H33N4O4;561,250181; Protoporphyrin Ix;553-12-8
C30H46NO7P;563,301189; Fosinopril;98048-97-6
C16H26N2O16P2;564,075756; 2'deoxy-Thymidine-5'-Diphospho-Alpha-D-Glucose;
C15H24N2O17P2;566,055020; Glucose-Uridine-C1,5'-Diphosphate;
C15H24N2O17P2;566,055020; Uridine-5'-Diphosphate-Mannose;
C15H24N2O17P2;566,055020; Uridine Diphosphate Galactose;2956-16-3
C15H24N2O17P2;566,055020; Uridine-5'-Monophosphate Glucopyranosyl-Monophosphateester;
C30H32Cl2N4O3;566,185146; Cis-[4,5-Bis-(4-Chlorophenyl)-2-(2-Isopropoxy-4-Methoxyphenyl)-4,5-Dihyd Roimidazol-1-Yl]-Piperazin-1-Yl-Methanone;
C26H22IN3O4;567,065500; I-Coeleneterazine;
C33H33N3O6;567,236936; RU82129;
C32H45N3O4S;567,313078; Nelfinavir;159989-64-7
C15H23FN2O16P2;568,050684; Uridine-5'-Monophosphate 2-Deoxy-2-Fluoro-Galactopyranosyl-Monophosphate Ester;
C15H23FN2O16P2;568,050684; Uridine-5'-Diphosphate-2-Deoxy-2-Fluoro-Alpha-D-Galactose;
C15H23FN2O16P2;568,050684; Uridine-5'-Diphosphate-4-Deoxy-4-Fluoro-Alpha-D-Galactose;
C40H56O2;568,428031; Xanthophyll;127-40-2
C17H23IN4O8S;570,028128; S-(N-Hydroxy-N-Iodophenylcarbamoyl)Glutathione;
C30H30N6O6;570,222683; N-Naphthalen-1-Ylmethyl-2'-[3,5-Dimethoxybenzamido]-2'-Deoxy-Adenosine;
C26H33F3N4O7;570,230134; 2-[4-[[(S)-1-[[(S)-2-[[(Rs)-3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl]Aminocarbonyl]Pyrrolidin-1-Yl-]Carbonyl]-2-Methylpropyl]Aminocarbonyl]Benzoylamino]Acetic Acid;
C34H50O7;570,355654; Carbenoxolone;5697-56-3
C23H19N6Os;571,128599; Lambda-Bis(2,2'-Bipyridine)Imidazole Osmium (Ii);
C23H19N6Os;571,128599; Delta-Bis(2,2'-Bipyridine)Imidazole Osmium (Ii);
C25H38N3O10P;571,229481; 4-[3-Carboxymethyl-3-(4-Phosphonooxy-Benzyl)-Ureido]-4-[(3-Cyclohexyl-Propyl)-Methyl-Carbamoyl]Butyric Acid;
C35H60N2O4;572,455308; Pancuronium;15500-66-0
C12H15NO19S3;572,940039; Heparin Disaccharide I-S;
C19H24N7O12P;573,122056; Uridylyl-2'-5'-Phospho-Adenosine;
C30H43N3O6S;573,287257; N-[2-Hydroxy-2-(8-Isopropyl-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-11-Yl)-Ethyl]-N-(3-Methyl-Butyl)-Benzenesulfonamide,Inhibitor 3;
C29H42N4O6S;574,282506; SC-74020;
C17H17N7O8S4;575,002143; Cefotetan;69712-56-7
C31H33N3O6S;575,209006; Zafirlukast;107753-78-6
C32H37N3O5S;575,245392; Je-2147, Ag1776, Kni-764;186538-00-1
C15H18I2N2O6;575,925423; Threonine Derivative;
C29H47N5O7;577,347549; Skf 107457;144285-77-8
C32H38N2O8;578,262816; Deserpidine;131-01-1
C30H34N3O7P;579,213437; RU81843;
C6H17O21P5;579,895040; Inositol-(1,3,4,5,6)-Pentakisphosphate;
C15H22N2O18P2;580,034285; Udp-Glucuronic Acid;
C29H26ClFN4O4S;580,134732; Lapatinib;388082-78-8
C26H41BN4O10;580,291574; BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA;
C35H40N4O4;580,304956; N-Methylmesoporphyrin;
C33H33N4O6;581,240010; Biliverdine Ix Alpha;114-25-0
C33H33N4O6;581,240010; Biliverdin Ix Gamma Chromophore;
C33H35N5O5;581,263819; Ergotamine;113-15-5
C21H39N7O12;581,265670; Streptomycin;57-92-1
C26H34N2O13;582,206089; 4-Methylumbelliferyl Chitobiose;
C31H42N4O5S;582,287591; 4-Morpholin-4-Yl-Piperidine-1-Carboxylic Acid [1-(3-Benzenesulfonyl-1-Propyl-Allylcarbamoyl)-2-Phenylethyl]-Amide;
C17H23N5O14P2;583,071673; Etheno-Nad;
C34H37N3O6;583,268236; A-98881;
C33H37N5O5;583,279469; Dihydroergotamine;6190-39-2
C18H33O19P;584,135365; 1-3 Sugar Ring of Pentamannosyl 6-Phosphate;
C29H44O12;584,283277; Ouabain;630-60-4
C29H40N6O7;584,295848; 1,5-Bis(N-Benzyloxycarbonyl-L-Leucinyl)Carbohydrazide;
C11H19N5O15P4;584,982811; Adenosine-5'-[Beta, Gamma-Methylene]Tetraphosphate;
C25H36N3O9PS;585,190987; Fosamprenavir;226700-79-4
C35H36ClNO3S;585,210442; Montelukast;158966-92-8
C33H35N3O7;585,247500; RU85053;
C33H37N4O6;585,271310; Mesobiliverdin Iv Alpha;
C29H39N5O8;585,279863; Tigecycline;220620-09-7
C22H43N5O13;585,285736; Amikacin;37517-28-5
C28H18N4O11;586,097207; 4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid;
C33H38N4O6;586,279135; Irinotecan;100286-90-6
C33H37ClF3NO3;587,241406; (3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid;
C27H37N7O6S;587,252603; 3-({1-[3-CARBAMIMIDOYL-1-(4-CARBAMIMIDOYL-BENZYLCARBAMOYL)-PROPYLCARBAMOYL]-2-METHYL-BUTYLSULFAMOYL}-METHYL)-BENZOIC ACID;
C19H25N8O12P;588,132955; Cytidyl-2'-5'-Phospho-Guanosine;
C29H32O13;588,184291; Etoposide;33419-42-0
C30H26F6N4O2;588,195995; Antrafenine;55300-30-6
C29H40N4O7S;588,261770; 2-(11-{2-[Benzenesulfonyl-(3-Methyl-Butyl)-Amino]-1-Hydroxy-Ethyl}-6,9-Dioxo-2-Oxa-7,10-Diaza-Bicyclo[11.2.2]Heptadeca-1(16),13(17),14-Trien-8-Yl)-Acetamide, Inhibitor 2;
C16H25N5O15P2;589,082238; Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester;
C16H25N5O15P2;589,082238; Guanosine-5'-Diphosphate-Rhamnose;
C19H24N7O13P;589,116970; Phosphoric Acid-2'-[2'-Deoxy-Uridine]Ester-5'-Guanosine Ester;
C33H45N5O5;591,342070; Ergoloid mesylate;8067-24-1
C16H28GdN5O9;592,112803; Gadodiamide;122795-43-1
C37H44N4O3;592,341341; N-(R-Carboxy-Ethyl)-Alpha-(S)-(2-Phenylethyl);
C17H19N6O12P2S;593,025689; Adenosine Diphosphate 5-(Beta-Ethyl)-4-Methyl-Thiazole-2-Carboxylic Acid;
C32H42N4O7;594,305350; 1-[N[(Phenylmethoxy)Carbonyl]-L-Leucyl-4-[[N/N-[(Phenylmethoxy)Carbonyl]-/Nl-Leucyl]Amino]-3-Pyrrolidinone/N;
C34H36N4O4S;596,245726; INHIBITOR Q8467 OF DUPONT MERCK;
C33H52N6O4;596,405004; [Cyclohexylethyl]-[[[[4-[2-Methyl-1-Imidazolyl-Butyl]Phenyl]Acetyl]-Seryl]-Lysinyl]-Amine;
C32H30N4O6S;598,188605; 3-({5-Benzyl-6-Hydroxy-2,4-Bis-(4-Hydroxy-Benzyl)-3-Oxo-[1,2,4]-Triazepane-1-Sulfonyl)-Benzonitrile;
C35H38N2O5S;598,250143; 3-[N-[Benzyloxycarbonyl]-Phenylalaninyl-Amino]-5-Phenyl-Pentane-1-Sulfonylmethylbenzene;
C31H37NO11;599,236661; 4-Methoxy-E-Rhodomycin T;
C30H37N3O10;599,247894; 2-(Carboxymethoxy)-5-[(2s)-2-({(2s)-2-[(3-Carboxypropanoyl)Amino] -3-Phenylpropanoyl}Amino)-3-Oxo-3-(Pentylamino)Propyl]Benzoic Acid;
C34H36N2O6S;600,229408; WRR-204;
C31H41FN4O7;600,295928; 4-{2-(4-Fluoro-Benzyl)-6-Methyl-5-[(5-Methyl-Isoxazole-3-Carbonyl)-Amino]-4-Oxo-Heptanoylamino}-5-(2-Oxo-Pyrrolidin-3-Yl)-Pentanoic Acid Ethyl Ester;
C32H44N2O9;600,304681; Streptolydigin;7229-50-7
C40H56O4;600,417860; Violaxanthin;
C14H26N3O17P3;601,047506; 4-Diphosphocytidyl-2-C-Methyl-D-Erythritol 2-Phosphate;
C17H25N5O15P2;601,082238; 2'-O-Acetyl Adenosine-5-Diphosphoribose;
C29H39N5O7S;601,257019; Crc200 (Chiron-Behring);
C10H18O21S4;601,922340; Pentosan Polysulfate;37300-21-3
